GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice8,com.example,ReservationSalleService,0,84,1,13,0,21,1,9,0,3
exercice8,com.example,Salle,6,15,0,0,2,6,2,2,2,2
exercice8,com.example,Reservation,9,24,0,0,3,9,3,3,3,3
