GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice9,com.example,Roll,0,9,0,0,0,4,0,2,0,2
exercice9,com.example,Frame,2,166,1,29,1,37,1,19,0,5
